2024-11-23T20:05:20 1732403120 - ADD - user_3464    - -45693988800
2024-11-23T20:05:20 1732403120 - ADD - user_7493    - -42479950900
2024-11-23T20:05:20 1732403121 - ADD - user_1762    - 671950562000
2024-11-23T20:05:20 1732403121 - ADD - user_4793    - 443349698000
2024-11-23T20:05:20 1732403121 - ADD - user_9650    - 109964995800
2024-11-23T20:05:20 1732403121 - ADD - user_9037    - -40849648500
2024-11-23T20:05:20 1732403121 - ADD - user_1381    - -39272686800
2024-11-23T20:05:20 1732403121 - ADD - user_6548    - 103503225700
2024-11-23T20:05:20 1732403121 - ADD - user_9196    - 399000379000
2024-11-23T20:05:20 1732403121 - ADD - user_2305    - 890082995000
2024-11-23T20:05:20 1732403121 - ADD - user_6620    - 111780623800
2024-11-23T20:05:20 1732403121 - ADD - user_2042    - -50528745200
2024-11-23T20:05:20 1732403121 - ADD - user_3235    - -88239320000
2024-11-23T20:05:20 1732403121 - ADD - user_8412    - -49450957300
2024-11-23T20:05:20 1732403121 - ADD - user_1958    - 106381790400
2024-11-23T20:05:20 1732403121 - ADD - user_2489    - 769956922000
2024-11-23T20:05:20 1732403121 - ADD - user_5558    - -71362542100
2024-11-23T20:05:20 1732403121 - ADD - user_417     - -17379283400
2024-11-23T20:05:20 1732403121 - ADD - user_3016    - -41548729100
2024-11-23T20:05:20 1732403121 - ADD - user_4188    - 313514327000
2024-11-23T20:05:20 1732403121 - ADD - user_4303    - -67053065700
2024-11-23T20:05:21 1732403121 - ADD - user_6807    - -19175290400
2024-11-23T20:05:21 1732403121 - ADD - user_522     - -55451693200
2024-11-23T20:05:21 1732403121 - ADD - user_7787    - 163053717000
2024-11-23T20:05:21 1732403121 - ADD - user_4359    - -27633076500
2024-11-23T20:05:21 1732403121 - ADD - user_249     - -49069202500
2024-11-23T20:05:21 1732403121 - ADD - user_5897    - 536874324000
2024-11-23T20:05:21 1732403121 - ADD - user_9147    - 429095372000
2024-11-23T20:05:21 1732403121 - ADD - user_2608    - 237032164000
2024-11-23T20:05:21 1732403121 - ADD - user_6918    - -37559781000
2024-11-23T20:05:21 1732403121 - ADD - user_7814    - 855554700000
2024-11-23T20:05:21 1732403121 - ADD - user_3222    - 147289610000
2024-11-23T20:05:21 1732403121 - ADD - user_5392    - 527620323000
2024-11-23T20:05:21 1732403121 - ADD - user_2326    - -18011347400
2024-11-23T20:05:21 1732403121 - ADD - user_75      - 498004321000
2024-11-23T20:05:21 1732403121 - ADD - user_2531    - 113034017500
2024-11-23T20:05:21 1732403121 - ADD - user_7649    - -61741581200
2024-11-23T20:05:21 1732403121 - ADD - user_2984    - -39233346000
2024-11-23T20:05:21 1732403121 - ADD - user_7161    - 328816702000
2024-11-23T20:05:21 1732403122 - ADD - user_3744    - -44893732100
2024-11-23T20:05:21 1732403122 - ADD - user_1515    - 442251528000
2024-11-23T20:05:21 1732403122 - ADD - user_7107    - 406706452000
2024-11-23T20:05:21 1732403122 - ADD - user_9209    - 616908747000
2024-11-23T20:05:21 1732403122 - ADD - user_2677    - 718986179000
2024-11-23T20:05:21 1732403122 - ADD - user_1815    - -51763168500
2024-11-23T20:05:21 1732403122 - ADD - user_2044    - -27797824400
2024-11-23T20:05:21 1732403122 - ADD - user_8822    - 761051409000
2024-11-23T20:05:21 1732403122 - ADD - user_4152    - -53905495800
2024-11-23T20:05:21 1732403122 - ADD - user_8727    - 718730415000
2024-11-23T20:05:21 1732403122 - ADD - user_3395    - 781003100000
2024-11-23T20:05:21 1732403122 - ADD - user_2800    - 164804992000
2024-11-23T20:05:21 1732403122 - ADD - user_648     - 748077747000
2024-11-23T20:05:21 1732403122 - ADD - user_3539    - 965126353000
2024-11-23T20:05:21 1732403122 - ADD - user_1447    - 112245723700
2024-11-23T20:05:21 1732403122 - ADD - user_1817    - -60360061100
2024-11-23T20:05:21 1732403122 - ADD - user_3187    - 528807059000
2024-11-23T20:05:21 1732403122 - ADD - user_1592    - 438033573000
2024-11-23T20:05:22 1732403122 - ADD - user_6193    - 689160276000
